Action,Time,ISIN,Ticker,Name,No. of shares,Price / share,Currency (Price / share),Exchange rate,Result (EUR),Total (EUR),Withholding tax,Currency (Withholding tax),Charge amount (EUR),Deposit fee (EUR),Stamp duty reserve tax (EUR),Notes,ID,Currency conversion fee (EUR)
Market sell,2021-03-23 15:50:07,US64052L1061,NEOS,"Neos Therapeutics ",68.0000000000,0.90,USD,1.18672,-24.74,51.44,,,,,,,EOF1225198167,
Market buy,2021-03-23 17:37:35,US62914V1061,NIO,"NIO Inc",1.4000000000,41.98,USD,1.18564,,49.57,,,,,,,EOF1226269106,
Market buy,2021-03-24 08:49:12,GB00B15FWH70,CINE,"Cineworld Group",2.0000000000,98.88,GBX,86.33379,,2.30,,,,,0.01,,EOF1226311372,
Market sell,2021-03-24 14:26:46,US86882L1052,SURG,"SurgePays",56.0000000000,0.27,USD,1.18200,0.27,12.84,,,,,,,EOF1228373734,
Market buy,2021-03-24 14:33:15,CA42981E1043,HITIF,"High Tide",10.0000000000,0.72,USD,1.18180,,6.06,,,,,,,EOF1228376794,
Market buy,2021-03-24 14:34:31,GB00B15FWH70,CINE,"Cineworld Group",6.0000000000,104.75,GBX,86.25502,,7.33,,,,,0.04,,EOF1228377375,
Deposit,2021-03-24 14:51:11,,,,,,,,,25.00,,,25.18,0.18,,"Transaction ID: 1659165974692463",c51a29f1-1f5e-4994-b061-c6f7998d38c5,
Market buy,2021-03-24 14:51:44,FR0010478248,ATA,"Atari",20.0000000000,0.71,EUR,1.00000,,14.12,,,,,,,EOF1228384497,
Market buy,2021-03-24 17:59:56,CA42981E1043,HITIF,"High Tide",10.0000000000,0.69,USD,1.18261,,5.80,,,,,,,EOF1229540828,
Market buy,2021-03-24 18:01:39,US88338N1072,TXMD,"TherapeuticsMD",6.0000000000,1.39,USD,1.18251,,7.05,,,,,,,EOF1229541419,
Deposit,2021-03-24 18:04:16,,,,,,,,,50.00,,,50.35,0.35,,"Transaction ID: 6159166090549326",2077b417-8b47-4a92-adfe-f92b0d7ef1ac,
Market buy,2021-03-24 18:05:04,US62914V1061,NIO,"NIO Inc",1.4500000000,37.52,USD,1.18253,,46.01,,,,,,,EOF1229542087,
Market buy,2021-03-24 19:44:39,CA86730L1094,SNDL,"Sundial Growers",2.5000000000,1.15,USD,1.18171,,2.43,,,,,,,EOF1230617478,
Market buy,2021-03-24 19:46:36,CA42981E1043,HITIF,"High Tide",3.0000000000,0.67,USD,1.18178,,1.70,,,,,,,EOF1230618241,
Deposit,2021-03-26 08:28:49,,,,,,,,,10.00,,,10.07,0.07,,"Transaction ID: 1559167473284322",10ce6ff5-f078-4d59-841e-56ec13614dec,
Market buy,2021-03-26 08:29:11,FR0010478248,ATA,"Atari",15.0000000000,0.67,EUR,1.00000,,10.08,,,,,,,EOF1233607305,
Dividend (Ordinary),2021-03-29 11:36:44,US7475251036,QCOM,"Qualcomm",0.1100000000,0.55,USD,Not available,,0.05,0.01,USD,,,,,,
